M,Grupo,Equipo A,Marcador 8.3B-Scoreline Lite,Equipo B,Prob. A-E-B,Prob. mercado A-E-B,Prob. A-E-B 8.3B-Odds,Favorito 8.3B-Odds,Confianza 8.3B-Odds,Estado marcador 8.3B-Scoreline Lite,Nota scoreline lite,tm_signal_a,market_a,age_a,tm_signal_b,market_b,age_b,p83_a,p83_d,p83_b,tm_edge,p84_a_raw,p84_b_raw,p84_d_raw,p84_a,p84_d,p84_b,Prob. A-E-B 8.4A-TM,out_score_lite,out84,Marcador 8.4A-TM,Cambio marcador 8.4A,Nota 8.4A-TM,game_id,sofa_odds_home,sofa_odds_draw,sofa_odds_away,p_sofa_home_no_vig,p_sofa_draw_no_vig,p_sofa_away_no_vig,p_consensus_home,p_consensus_draw,p_consensus_away,max_abs_delta_sofa_theodds,MarketConsensusFlag,p84a_a,p84a_d,p84a_b,p84b_a,p84b_d,p84b_b,Prob. A-E-B 8.4B-Consensus,Confianza 8.4B-Consensus,Marcador 8.4B-Consensus,Nota 8.4B-Consensus
21,L,Ghana,1-1,Panamá,44-29-27,47-27-26,46-28-26,Ghana,Media,Conservado,Empate conservado: probabilidad de empate sigue alta y compatible con ancla histórica.,0.1347692742182886,234.6,26.8,-1.5820426783355932,34.55,30.4,0.46,0.28,0.26,1.716811952553882,0.4884880007993109,0.2448371296824057,0.28,0.4820644293772646,0.276318026245824,0.2416175443769114,48-28-24,D,A,1-0,True,Ajuste TM proxy: talento/profundidad refuerza el resultado modal; pendiente xG/O-U.,,,,,,,,,,,,,0.48,0.28,0.24,0.48,0.28,0.24,48-28-24,Media,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
22,L,Inglaterra,1-0,Croacia,62-24-14,55-25-20,58-25-17,Inglaterra,Media,Conservado,Marcador conservado; probabilidades sí recalibradas.,1.5285841450722164,1360.0,27.2,0.4089996098690729,387.3,28.3,0.58,0.25,0.17,1.1195845352031435,0.603178734907996,0.1634673013050429,0.25,0.593302598370235,0.2459066293429312,0.1607907722868338,59-25-16,A,A,1-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.59,0.25,0.16,0.59,0.25,0.16,59-25-16,Media,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
23,K,Portugal,2-0,RD Congo,77-18-5,75-16-9,76-17-7,Portugal,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,1.1092670293180964,1010.0,28.0,-0.632174200837229,143.9,29.1,0.76,0.17,0.07,1.7414412301553257,0.8077631435170392,0.0658608905679512,0.17,0.7739982188367814,0.1628939104962732,0.0631078706669452,77-16-6,A,A,2-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.7777777777777778,0.1616161616161616,0.0606060606060606,0.7777777777777778,0.1616161616161616,0.0606060606060606,78-16-6,Alta,2-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
24,K,Uzbekistán,0-2,Colombia,9-21-70,12-21-67,11-21-68,Colombia,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,-0.8437268146287958,85.33,28.5,-0.0490845262988991,302.35,30.1,0.11,0.21,0.68,-0.7946422883298967,0.1069827798683857,0.6991779433290274,0.21,0.1052813570000597,0.2066602213665786,0.6880584216333617,11-21-69,B,B,0-2,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.1089108910891089,0.2079207920792079,0.6831683168316831,0.1089108910891089,0.2079207920792079,0.6831683168316831,11-21-68,Alta,0-2,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
25,A,Chequia,1-0,Sudáfrica,50-28-22,48-29-23,49-28-23,Chequia,Media,Conservado,Marcador conservado; probabilidades sí recalibradas.,-0.1579478437937918,188.18,27.6,-0.7913899443619227,49.25,26.8,0.49,0.28,0.23,0.6334421005681309,0.5009848517624014,0.2249569015979937,0.28,0.4980257058510974,0.2783461359115943,0.2236281582373082,50-28-22,A,A,1-0,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.5,0.28,0.22,0.5,0.28,0.22,50-28-22,Media,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
26,B,Suiza,1-0,Bosnia y Herzegovina,60-24-16,60-24-16,60-24-16,Suiza,Media-Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.4543805951106301,332.5,28.3,-0.3426050075861381,151.6,26.4,0.6,0.24,0.16,0.7969856026967683,0.6169723142301455,0.1555985540774033,0.24,0.6093127242159134,0.2370204471723994,0.1536668286116871,61-24-15,A,A,1-0,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.61,0.24,0.15,0.61,0.24,0.15,61-24-15,Media-Alta,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
27,B,Canadá,2-0,Qatar,71-20-9,72-19-9,71-19-9,Canadá,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,-0.0111583591303389,196.65,27.1,-1.6540070125401325,19.93,29.5,0.7171717171717171,0.1919191919191919,0.0909090909090909,1.6428486534097937,0.7596174936527657,0.085829288264911,0.1919191919191919,0.732256033850036,0.1850062531059769,0.0827377130439871,73-19-8,A,A,2-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.73,0.19,0.08,0.7300000000000001,0.19,0.08,73-19-8,Alta,2-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
28,A,México,2-1,Corea del Sur,62-23-15,52-27-21,56-25-18,México,Media,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.2609602124190925,191.85,27.9,-0.0487839536698092,139.05,28.1,0.5656565656565657,0.2525252525252525,0.1818181818181818,0.3097441660889017,0.5718222351655539,0.1798577284624436,0.2525252525252525,0.5694276687348825,0.2514677761708769,0.1791045550942407,57-25-18,A,A,2-1,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.57,0.25,0.18,0.57,0.25,0.18,57-25-18,Media,2-1,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
29,C,Brasil,3-0,Haití,85-13-2,89-8-3,87-10-3,Brasil,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,1.071654183529238,923.2,29.2,-0.8475747275240388,55.9,27.6,0.87,0.1,0.03,1.919228911053277,0.9304480306565156,0.0280510024633875,0.1,0.8790258673303083,0.0944733975856852,0.0265007350840064,88-9-3,A,A,3-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.88,0.09,0.03,0.88,0.09,0.03,88-9-3,Alta,3-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
30,C,Escocia,0-1,Marruecos,13-23-64,23-29-48,19-27-54,Marruecos,Baja,"Conservado, pero bajo revisión",No se cambia por prudencia; requiere xG/O-U y lineups.,-0.1551026621541422,170.25,29.2,0.6330444802720919,498.3,26.4,0.19,0.27,0.54,-0.7881471424262342,0.1848304507049888,0.5551033371863691,0.27,0.18301244390575,0.2673442588387238,0.5496432972555261,18-27-55,B,B,0-1,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.18,0.27,0.55,0.18,0.27,0.55,18-27-55,Baja,0-1,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
31,D,Türkiye,1-0,Paraguay,56-25-19,42-30-28,48-28-24,Türkiye,Baja,"Conservado, pero bajo revisión",No se cambia por prudencia; requiere xG/O-U y lineups.,0.4478968347547193,473.7,27.7,-0.1626171878642138,153.65,29.0,0.48,0.28,0.24,0.6105140226189332,0.490367002129336,0.2349260849522162,0.28,0.4877851130488835,0.2785257390089719,0.2336891479421447,49-28-23,A,A,1-0,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.49,0.28,0.23,0.49,0.28,0.23,49-28-23,Baja,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
32,D,Estados Unidos,1-0,Australia,54-25-21,55-25-20,54-25-21,Estados Unidos,Media-Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.6414344636089065,385.65,26.9,-0.3989535796396222,77.45,27.4,0.54,0.25,0.21,1.0403880432485288,0.5600257255028575,0.2024906979017366,0.25,0.5531028559712312,0.2469095752139734,0.1999875688147952,55-25-20,A,A,1-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.55,0.25,0.2,0.55,0.25,0.2,55-25-20,Media-Alta,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
33,E,Alemania,1-0,Costa de Marfil,57-25-18,61-22-17,59-23-17,Alemania,Media-Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,1.225863698055178,947.0,28.1,0.4447012581836878,522.1,25.9,0.5959595959595959,0.2323232323232323,0.1717171717171717,0.7811624398714903,0.6124783275179903,0.1670859060280533,0.2323232323232323,0.6052830459677966,0.2295939421718716,0.1651230118603316,61-23-17,A,A,1-0,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.6039603960396039,0.2277227722772277,0.1683168316831683,0.6039603960396039,0.2277227722772277,0.1683168316831683,60-23-17,Media-Alta,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
34,E,Ecuador,2-0,Curazao,81-15-4,79-14-7,80-14-6,Ecuador,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.3090945759259152,368.7,26.1,-1.4087883638824117,25.78,28.0,0.8,0.14,0.06,1.7178829398083266,0.8495761946039976,0.0564987582101139,0.14,0.8121561388297269,0.1338336221734181,0.0540102389968549,81-13-5,A,A,2-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.8181818181818181,0.1313131313131313,0.0505050505050505,0.8181818181818182,0.1313131313131313,0.0505050505050505,82-13-5,Alta,2-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
35,F,Países Bajos,1-0,Suecia,59-24-17,58-24-18,58-24-18,Países Bajos,Media-Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,1.0416232686161244,804.2,27.8,0.6760462512353018,406.08,27.6,0.58,0.24,0.18,0.3655770173808226,0.5874688945376326,0.177711536680028,0.24,0.5844412369090607,0.2387631041615758,0.1767956589293634,58-24-18,A,A,1-0,False,Marcador conservado; TM no altera suficiente la señal odds-modelo.,,,,,,,,,,,,,0.58,0.24,0.18,0.58,0.24,0.18,58-24-18,Media-Alta,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
36,F,Túnez,1-1,Japón,22-31-47,20-27-53,21-29-51,Japón,Media-Alta,Conservado,Empate conservado: probabilidad de empate sigue alta y compatible con ancla histórica.,-0.4993323162124505,69.95,26.7,0.296824086132251,270.85,27.8,0.2079207920792079,0.2871287128712871,0.504950495049505,-0.7961564023447016,0.2022069596811765,0.5192190568367204,0.2871287128712871,0.2004918065315504,0.2846932392505682,0.5148149542178813,20-28-51,D,B,0-1,True,Ajuste TM proxy: talento/profundidad refuerza el resultado modal; pendiente xG/O-U.,,,,,,,,,,,,,0.202020202020202,0.2828282828282829,0.5151515151515151,0.202020202020202,0.2828282828282829,0.5151515151515151,20-28-52,Media-Alta,0-1,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
37,H,Uruguay,1-0,Cabo Verde,69-21-10,66-21-13,67-21-12,Uruguay,Alta,Conservado,Marcador conservado; probabilidades sí recalibradas.,0.475488939068544,359.3,28.8,-1.281738271333897,54.5,29.7,0.67,0.21,0.12,1.7572272104024411,0.7125005362321847,0.1128420203375114,0.21,0.6881785470046226,0.2028314190964712,0.1089900338989062,69-20-11,A,A,1-0,False,"TM muestra brecha de talento relevante, pero no suficiente para cambiar marcador sin xG/O-U.",,,,,,,,,,,,,0.69,0.2,0.11,0.6900000000000001,0.2,0.11,69-20-11,Alta,1-0,Sin cobertura SofaScore odds en esta muestra; se conserva v8.4A.
