Selección,R32,Octavos,Cuartos,Semis,Final,Campeón,Elo_2026,Elo_z,market_value_m_eur,avg_market_value_m_eur,avg_age_tm,wc_particip,tm_squad_signal
Uzbekistán,30.681431440402005,6.05734148465407,1.1149399532608542,0.2415442180070588,0.0763956906379614,0.0215953552775854,1718,-0.3854944503218248,85.33,3.28,28.5,1,-0.8437268146287958
Sudáfrica,26.921598353608708,5.757396777839197,0.8943420298615493,0.1686523195993598,0.0795411625882108,0.014903782167306,1528,-1.4872523277693452,49.25,1.89,26.8,4,-0.7913899443619227
Arabia Saudita,26.705915753027057,4.277353404067096,0.7875390295341799,0.1654661403156808,0.0782435425100774,0.0146957095195655,1569,-1.2495045752675118,40.68,1.56,28.5,7,-0.9091197550658686
Qatar,28.811617065504343,5.190871311464012,0.763280804937593,0.1374318328860679,0.0631255298674152,0.0114988809106645,1421,-2.1077159745424225,19.93,0.766,29.5,2,-1.6540070125401325
Cabo Verde,16.809415864357696,2.308291147939592,0.345305883208188,0.0810591007194376,0.0304415211759922,0.0070895500627725,1578,-1.197316044230524,54.5,2.1,29.7,1,-1.281738271333897
Jordania,11.76268317483115,1.3534044964473526,0.2510031235111995,0.0778803804004686,0.0292843688306945,0.0068234403355351,1685,-0.5768523974574468,20.0,0.8,28.8,1,-1.646110608553632
Nueva Zelanda,16.63742817742379,2.6988617389345797,0.4161069232636482,0.0773221523865614,0.0290372458634847,0.006764648009748,1562,-1.2900956549629468,34.35,1.32,28.1,3,-1.1082879609776777
Irak,8.338268138598828,1.344103269538368,0.2482954224509005,0.0767605599777338,0.0287675144433871,0.006684949159466,1618,-0.9653670173994672,21.2,0.815,26.9,2,-1.333146724447664
Haití,10.739425785793904,1.4254506021757536,0.246082391551025,0.0758720566389273,0.0212789455379477,0.0065848994629607,1548,-1.371277814353817,55.9,2.15,27.6,2,-0.8475747275240388
Curazao,8.247278901113456,1.0462670222357342,0.1584344436693204,0.0289061106677744,0.0133183497315083,0.0060869118656196,1434,-2.032332540822329,25.78,0.991,28.0,1,-1.4087883638824117
